Country Name,Country Code,Region,Sub-region,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.459,67.394,67.922,68.389,68.902,69.319,69.789,70.144,70.542,70.918,71.281,71.643,72.324,73.009,73.432,73.832,73.991,74.119,74.227,74.349,74.419,74.846,74.942,75.038,75.14,75.225,75.282,75.647,75.692,75.701,75.701,75.697,75.7,75.714,75.731,75.753,75.768,75.787,75.823,75.573,75.651,75.758,75.825,75.898,75.872,75.992,76.109,76.252,76.404,76.64,77.57,77.709,77.899,77.961,78.124,78.139,78.203,78.25,78.708,78.814,78.333,76.417,78.691,78.779,78.918,
Argentina,ARG,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.789,68.236,68.282,68.575,68.537,68.819,69.095,69.288,69.193,69.133,69.564,69.417,69.764,70.087,70.371,70.913,70.983,71.559,71.708,72.001,72.047,72.436,72.557,72.706,72.778,73.402,73.81,74.219,74.623,75.039,74.878,75.344,75.496,75.707,75.909,76.17,76.433,76.838,76.876,77.075,77.288,77.642,77.911,77.808,78.177,78.632,78.437,77.925,78.577,78.593,78.732,79.402,78.672,78.623,79.15,79.795,79.131,79.204,79.505,79.439,78.783,76.86,78.318,79.875,80.02,
Antigua and Barbuda,ATG,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,64.755,65.52,66.232,67.002,67.786,68.584,69.353,70.093,70.778,71.397,71.966,72.487,72.957,73.374,73.777,74.145,74.502,74.883,75.262,75.595,75.853,76.05,76.237,76.381,76.499,76.573,76.603,76.59,76.532,76.328,76.338,76.22,76.128,76.168,76.347,76.526,76.949,77.304,77.517,77.864,78.295,78.592,78.519,78.276,78.179,78.298,78.575,78.817,79.165,79.509,79.879,80.234,80.379,80.325,80.138,79.973,79.923,79.88,79.887,79.844,79.813,79.757,80.154,80.294,80.446,
"Bahamas, The",BHS,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,65.382,65.76,66.143,66.522,66.93,67.356,67.634,68.082,68.442,68.83,69.225,69.58,69.875,70.234,70.665,71.217,71.642,71.938,72.145,72.34,72.555,72.837,73.171,73.536,73.794,73.972,74.057,74.147,74.256,74.433,74.634,74.826,74.913,75.046,75.099,75.147,75.219,75.332,75.478,75.666,75.899,76.121,76.35,76.538,76.542,76.767,76.873,76.939,77.008,77.061,77.05,77.151,77.301,77.586,77.749,77.443,77.757,77.725,77.731,74.176,76.788,74.145,78.09,78.187,78.327,
Belize,BLZ,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,59.542,53.689,60.722,61.175,61.583,62.022,62.546,63.122,63.711,64.268,64.846,65.363,65.831,66.365,66.88,67.406,67.843,68.266,68.436,68.762,68.891,69.02,69.186,69.502,69.957,70.415,70.912,71.344,71.633,71.785,71.82,71.886,71.836,71.864,71.877,71.854,71.821,71.728,71.522,71.668,71.627,71.66,72.364,72.599,72.954,73.042,73.233,73.359,73.376,73.584,73.715,73.874,74.142,74.34,74.552,74.803,74.986,75.217,75.45,75.668,74.463,73.796,75.104,76.495,76.663,
Bermuda,BMU,America,North America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,69.567,70.699,71.03,70.886,70.776,71.002,71.297,71.545,71.964,72.344,72.788,73.264,73.787,74.285,74.641,75.015,75.359,75.772,76.132,76.544,76.844,77.141,77.386,77.652,77.783,77.857,77.915,77.975,77.994,78.043,78.091,78.168,78.366,78.703,79.392,80.179,80.728,81.047,81.401,81.876,82.221,82.443,82.61,82.533,83.052,83.264,83.42,83.526,83.572,83.64,83.835,84.138,84.353,84.439,84.535,84.543,84.562,84.647,84.842,85.033,85.195,85.385,85.566,85.742,85.871,
Bolivia,BOL,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.562,45.838,46.162,46.496,46.838,47.263,47.682,48.064,48.49,48.769,49.189,49.52,49.741,50.199,50.601,51.18,51.756,52.151,52.493,52.952,53.397,53.794,53.979,54.355,54.91,55.234,55.691,56.37,56.991,57.714,58.379,59.025,59.597,60.394,61.132,61.722,62.21,62.668,63.2,63.709,64.14,64.74,65.377,65.782,66.134,66.523,66.825,67.303,67.636,67.964,68.323,68.588,68.879,69.105,69.3,69.552,69.757,69.951,70.132,70.266,67.126,65.25,70.255,71.145,71.324,
Brazil,BRA,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,55.509,55.954,56.397,56.857,57.281,57.709,58.102,58.497,58.958,59.395,59.837,60.289,60.761,61.172,61.541,61.987,62.405,62.83,63.275,63.73,64.195,64.656,65.121,65.572,65.997,66.441,66.869,67.286,67.734,68.221,68.706,69.187,69.667,70.108,70.527,70.947,71.367,71.779,72.152,72.546,72.96,73.4,73.843,74.337,74.824,75.292,75.744,76.191,76.585,76.93,77.257,77.532,77.816,78.062,78.273,78.472,78.539,78.781,78.977,79.023,77.599,76.401,78.094,78.983,79.145,
Barbados,BRB,America,Latin America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,65.451,66.664,67.303,67.756,68.138,68.739,69.177,69.542,69.766,70.118,70.182,70.575,70.928,71.07,71.323,71.617,71.948,72.508,73.038,73.388,73.897,74.281,74.67,74.931,75.127,75.143,75.316,75.489,75.57,75.564,75.754,75.891,76.066,76.3,76.427,76.616,76.804,76.775,77.134,77.225,77.018,76.983,76.99,77.036,77.295,77.184,77.229,77.513,77.537,77.728,77.642,77.752,77.86,77.952,78.055,78.157,78.271,78.296,78.427,78.536,78.649,78.72,78.274,78.615,78.763,
Canada,CAN,America,North America,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,74.15,74.45,74.43,74.5,75.08,75.14,75.39,75.66,75.78,76.01,76.25,76.63,76.55,76.83,76.91,77.23,77.59,77.97,78.32,78.59,78.79,79.16,79.29,79.61,79.82,79.8,79.87,80.19,80.27,80.49,80.73,80.81,81.07,80.86,80.95,81.03,81.15,81.25,81.41,81.61,81.82,82,82.02,82.23,82.42,82.52,82.91,82.91,83.05,83.33,83.54,83.68,83.82,83.85,83.91,83.89,84.04,84,83.96,84.32,83.84,83.91,83.41,83.88,84.29,
