Country Name,Country Code,Region,Sub-region,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.746,61.114,61.371,61.601,61.824,62.047,62.582,62.761,63.086,63.419,63.737,64.053,64.482,64.865,65.263,65.452,65.76,66.1,66.411,66.748,67.176,67.866,68.049,68.224,68.351,68.452,68.506,69.349,69.476,69.518,69.543,69.589,69.724,69.813,69.827,69.87,69.895,69.963,69.996,70.063,70.149,70.251,70.364,70.488,70.487,70.741,70.791,70.93,71.058,71.201,70.997,71.378,71.685,72.043,72.245,72.496,72.691,72.802,72.88,73.047,72.344,70.794,73.537,73.702,73.845,
Argentina,ARG,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,61.202,61.526,61.474,61.65,61.609,61.783,62.157,62.126,61.779,61.553,62.165,62.21,62.517,62.671,62.808,63.367,63.406,63.944,64.535,65.072,65.282,65.455,65.559,66.002,66.054,66.474,66.852,67.256,67.632,68.008,68.347,68.681,68.691,68.892,69.501,69.521,69.656,69.95,69.935,70.263,70.498,70.637,70.704,70.796,71.5,71.767,72.021,71.574,72.192,72.449,72.542,72.739,72.851,72.963,73.303,73.367,73.044,73.791,73.951,74.163,72.981,71.113,73.249,74.805,74.976,
Antigua and Barbuda,ATG,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,60.117,60.766,61.391,62.036,62.728,63.407,64.085,64.698,65.278,65.829,66.315,66.789,67.223,67.636,68.021,68.374,68.727,69.068,69.403,69.729,70.022,70.288,70.519,70.703,70.84,70.926,70.969,70.977,70.944,70.818,70.796,70.695,70.622,70.594,70.621,70.607,70.718,70.782,70.826,70.991,71.259,71.531,71.818,72.153,72.272,72.236,72.254,72.432,72.778,73.049,73.305,73.579,73.588,73.537,73.438,73.536,73.711,73.859,74.04,74.143,74.157,74.295,74.461,74.549,74.742,
"Bahamas, The",BHS,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,59.434,59.818,60.225,60.584,60.954,61.303,61.668,62.12,62.518,62.9,63.302,63.681,63.914,64.289,64.728,65.279,65.639,65.831,65.878,65.891,65.962,66.225,66.511,66.786,66.916,66.951,66.935,66.986,67.122,67.352,67.587,67.849,67.978,68.082,68.052,68,68.01,68.145,68.446,68.83,69.233,69.557,69.834,70.019,70.055,70.189,70.177,70.129,70.035,70.002,69.99,70.112,70.219,70.374,70.407,70.255,70.425,70.43,70.468,68.617,69.35,67.463,70.883,70.906,71.055,
Belize,BLZ,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,55.357,52.228,56.863,57.55,58.178,58.763,59.252,59.83,60.299,60.815,61.334,61.824,62.315,62.717,63.112,63.486,63.833,64.16,64.395,64.748,65.024,65.308,65.622,65.844,66.117,66.462,66.772,67.085,67.386,67.517,67.566,67.661,67.632,67.579,67.531,67.357,67.165,66.93,66.618,66.646,66.576,66.619,67.112,67.444,67.765,68.02,68.227,68.341,68.353,68.445,68.466,68.512,68.583,68.67,68.779,68.948,69.136,69.339,69.605,69.871,69.047,68.383,69.587,70.928,71.079,
Bermuda,BMU,America,North America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,63.572,64.528,64.917,64.706,64.478,64.466,64.501,64.468,64.359,64.421,64.647,65.282,66.026,66.906,67.486,67.741,67.771,67.936,68.247,68.654,68.847,69.008,69.075,69.215,69.325,69.281,69.226,69.327,69.498,69.774,70.123,70.507,70.764,71.049,71.394,71.896,72.498,73.021,73.489,73.948,74.395,74.882,75.102,74.938,74.859,74.658,74.534,74.685,74.865,75.084,75.305,75.474,75.636,75.849,76.133,76.412,76.68,76.96,77.311,77.607,77.823,78.166,78.565,78.855,79.064,
Bolivia,BOL,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,41.17,41.471,41.888,42.217,42.552,42.959,43.319,43.783,44.229,44.667,45.043,45.467,45.927,46.375,46.907,47.494,48.182,48.618,49.171,49.739,50.245,50.708,51.025,51.353,51.846,52.308,52.791,53.423,54.011,54.58,55.221,55.856,56.257,56.939,57.467,57.907,58.427,58.896,59.346,59.712,60.098,60.486,60.931,61.303,61.675,62.015,62.399,62.749,63.13,63.51,63.846,64.134,64.447,64.609,64.797,65.016,65.186,65.284,65.43,65.537,59.654,58.374,64.788,66.128,66.267,
Brazil,BRA,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,51.002,51.42,51.821,52.231,52.601,52.963,53.331,53.712,54.157,54.572,55.005,55.443,55.906,56.338,56.76,57.255,57.73,58.205,58.674,59.103,59.543,59.969,60.382,60.781,61.194,61.601,61.989,62.364,62.674,62.907,63.133,63.348,63.557,63.831,64.21,64.6,64.992,65.37,65.683,66.014,66.347,66.699,67.085,67.558,68.019,68.485,68.953,69.368,69.733,70.076,70.392,70.654,70.945,71.246,71.462,71.818,71.716,72.069,72.365,72.653,71.537,69.81,71.73,72.76,72.95,
Barbados,BRB,America,Latin America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.275,62.798,63.547,64.105,64.731,65.268,65.814,65.902,66.275,66.556,66.546,66.703,67.064,66.901,67.208,67.74,68.068,68.572,69.061,69.538,70.188,70.795,70.958,71.202,71.296,71.304,71.33,71.247,71.1,70.988,70.965,70.995,70.963,70.996,70.913,70.979,71.162,71.048,71.629,71.782,71.966,72.246,72.465,72.512,72.821,72.561,72.691,72.838,72.893,73.02,73.163,73.274,73.443,73.51,73.629,73.784,73.898,74.009,74.163,74.287,74.477,74.284,73.046,73.631,73.752,
Canada,CAN,America,North America,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.26,68.39,68.45,68.41,68.63,68.76,68.78,68.92,69.09,69.16,69.32,69.6,69.49,69.67,69.74,69.99,70.3,70.64,70.92,71.32,71.59,72.01,72.33,72.68,73.01,73.02,73.22,73.53,73.61,73.92,74.3,74.53,74.76,74.7,74.94,75.07,75.43,75.71,75.97,76.2,76.64,76.92,77.16,77.32,77.68,77.82,78.29,78.29,78.51,78.91,79.21,79.39,79.61,79.74,79.76,79.86,79.94,79.72,79.75,80.1,79.33,79.11,78.89,79.48,80.03,
